reference_designator,name,min_depth,max_depth
CE09OSSM-RID27,Near Surface Instrument Frame,7,7
CE09OSSM-SBC11,Surface Buoy,0,0
CE09OSSM-SBD11,Surface Buoy,0,0
CE09OSSM-SBD12,Surface Buoy,0,0
CP01CNPM-SBS01,Surface Buoy,0,0
CP01CNPM-RII01,Mooring Riser,70,70
CP01CNPM-WFP01,Wire-Following Profiler,0,70
CP01CNSM-MFC31,Seafloor Multi-Function Node (MFN),133,133
CP01CNSM-MFD35,Seafloor Multi-Function Node (MFN),133,133
CP01CNSM-MFD37,Seafloor Multi-Function Node (MFN),133,133
CP01CNSM-RIC21,Near Surface Instrument Frame,7,7
CP01CNSM-RID26,Near Surface Instrument Frame,7,7
CP01CNSM-RID27,Near Surface Instrument Frame,7,7
CP01CNSM-SBC11,Surface Buoy,0,0
CP01CNSM-SBD11,Surface Buoy,0,0
CP01CNSM-SBD12,Surface Buoy,0,0
CP01CNSP-SP001,Surface Piercing Profiler,0,100
CP02PMCI-RII01,Mooring Riser,104,104
CP02PMCI-SBS01,Surface Buoy,0,0
CP02PMCI-WFP01,Wire-Following Profiler,15,104
CP02PMCO-RII01,Mooring Riser,125,125
CP02PMCO-SBS01,Surface Buoy,0,0
CP02PMCO-WFP01,Wire-Following Profiler,15,125
CP02PMUI-RII01,Mooring Riser,70,70
CP02PMUI-SBS01,Surface Buoy,0,0
CP02PMUI-WFP01,Wire-Following Profiler,15,70
CP02PMUO-RII01,Mooring Riser,425,425
CP02PMUO-SBS01,Surface Buoy,0,0
CP02PMUO-WFP01,Wire-Following Profiler,20,425
CP03ISPM-SBS01,Surface Buoy,0,0
CP03ISPM-RII01,Mooring Riser,70,70
CP03ISPM-WFP01,Wire-Following Profiler,0,70
CP03ISSM-MFC31,Seafloor Multi-Function Node (MFN),91.5,91.5
CP03ISSM-MFD35,Seafloor Multi-Function Node (MFN),91.5,91.5
CP03ISSM-MFD37,Seafloor Multi-Function Node (MFN),91.5,91.5
CP03ISSM-RIC21,Near Surface Instrument Frame,7,7
CP03ISSM-RID26,Near Surface Instrument Frame,7,7
CP03ISSM-RID27,Near Surface Instrument Frame,7,7
CP03ISSM-SBC11,Surface Buoy,0,0
CP03ISSM-SBD11,Surface Buoy,0,0
CP03ISSM-SBD12,Surface Buoy,0,0
CP03ISSP-SP001,Surface Piercing Profiler,0,80
CP04OSPM-RII01,Mooring Riser,425,425
CP04OSPM-SBS01,Surface Buoy,0,0
CP04OSPM-SBS11,Surface Buoy,0,0
CP04OSPM-WFP01,Wire-Following Profiler,15,427
CP04OSSM-MFC31,Seafloor Multi-Function Node (MFN),450,450
CP04OSSM-MFD35,Seafloor Multi-Function Node (MFN),450,450
CP04OSSM-MFD37,Seafloor Multi-Function Node (MFN),450,450
CP04OSSM-RIC21,Near Surface Instrument Frame,7,7
CP04OSSM-RID26,Near Surface Instrument Frame,7,7
CP04OSSM-RID27,Near Surface Instrument Frame,7,7
CP04OSSM-SBC11,Surface Buoy,0,0
CP04OSSM-SBD11,Surface Buoy,0,0
CP04OSSM-SBD12,Surface Buoy,0,0
CP05MOAS-A6263,Coastal AUV 6263,,
CP05MOAS-A6264,Coastal AUV 6264,,
CP05MOAS-GL335,Coastal Glider 335,0,200
CP05MOAS-GL336,Coastal Glider 336,0,1000
CP05MOAS-GL339,Coastal Glider 339,0,200
CP05MOAS-GL340,Coastal Glider 340,0,200
CP05MOAS-GL374,Coastal Glider 374,0,200
CP05MOAS-GL375,Coastal Glider 375,,
CP05MOAS-GL376,Coastal Glider 376,0,1000
CP05MOAS-GL379,Coastal Glider 379,0,1000
CP05MOAS-GL380,Coastal Glider 380,0,1000
CP05MOAS-GL387,Coastal Glider 387,0,1000
CP05MOAS-GL388,Coastal Glider 388,0,1000
CP05MOAS-GL389,Coastal Glider 389,0,1000
CP05MOAS-PG564,Profiling Glider 564,0,200
CP05MOAS-PG583,Profiling Glider 583,0,200
GA01SUMO-RID16,Near Surface Instrument Frame,12,12
GA01SUMO-RII11,Mooring Riser,40,1500
GA01SUMO-SBC11,Surface Buoy,0,0
GA01SUMO-SBD11,Surface Buoy,0,0
GA01SUMO-SBD12,Surface Buoy,0,0
GA02HYPM-MPM01,Mooring Riser,150,150
GA02HYPM-RIM01,Mooring Riser,164,5034
GA02HYPM-WFP02,Wire-Following Profiler Upper,310,2573
GA02HYPM-WFP03,Wire-Following Profiler Lower,2600,5023
GA03FLMA-RIM01,Mooring Riser,30,1510
GA03FLMA-RIS01,Mooring Riser,30,30
GA03FLMB-RIM01,Mooring Riser,30,1500
GA03FLMB-RIS01,Mooring Riser,30,30
GA05MOAS-GL364,Open Ocean Glider 364,0,1000
GA05MOAS-GL470,Open Ocean Glider 470,0,1000
GA05MOAS-GL493,Open Ocean Glider 493,0,1000
GA05MOAS-GL494,Open Ocean Glider 494,0,1000
GA05MOAS-GL495,Open Ocean Glider 495,0,1000
GA05MOAS-GL496,Open Ocean Glider 496,0,1000
GA05MOAS-GL538,Open Ocean Glider 538,,
GA05MOAS-PG562,Profiling Glider 562,0,200
GA05MOAS-PG563,Profiling Glider 563,0,200
GA05MOAS-PG578,Profiling Glider 578,0,200
GA05MOAS-PG580,Profiling Glider 580,0,200
GI01SUMO-RID16,Near Surface Instrument Frame,12,12
GI01SUMO-RII11,Mooring Riser,20,1500
GI01SUMO-SBC11,Surface Buoy,0,0
GI01SUMO-SBD11,Surface Buoy,0,0
GI01SUMO-SBD12,Surface Buoy,0,0
GI02HYPM-MPM01,Mooring Riser,150,150
GI02HYPM-RIM01,Mooring Riser,164,2600
GI02HYPM-WFP02,Wire-Following Profiler Upper,260,2592
GI03FLMA-RI000,Mooring Riser,1700,2600
GI03FLMA-RIM01,Mooring Riser,30,1510
GI03FLMA-RIS01,Mooring Riser,30,30
GI03FLMB-RI000,Mooring Riser,1800,2700
GI03FLMB-RIM01,Mooring Riser,30,1510
GI03FLMB-RIS01,Mooring Riser,30,30
GI05MOAS-GL469,Open Ocean Glider 469,0,1000
GI05MOAS-GL477,Open Ocean Glider 477,0,1000
GI05MOAS-GL478,Open Ocean Glider 478,0,1000
GI05MOAS-GL484,Open Ocean Glider 484,0,1000
GI05MOAS-GL486,Open Ocean Glider 486,0,1000
GI05MOAS-GL485,Open Ocean Glider 485,0,1000
GI05MOAS-GL493,Open Ocean Glider 493,0,1000
GI05MOAS-GL495,Open Ocean Glider 495,0,1000
GI05MOAS-GL559,Open Ocean Glider 559,0,1000
GI05MOAS-PG528,Profiling Glider 528,0,200
GI05MOAS-PG564,Profiling Glider 564,0,200
GI05MOAS-PG577,Profiling Glider 577,0,200
GI05MOAS-PG581,Profiling Glider 581,0,200
GP02HYPM-MPM01,Mooring Riser,150,150
GP02HYPM-RIM01,Mooring Riser,164,4042
GP02HYPM-WFP02,Wire-Following Profiler Upper,310,2093
GP02HYPM-WFP03,Wire-Following Profiler Lower,2100,4038
GP03FLMA-RIM01,Mooring Riser,30,1510
GP03FLMA-RIS01,Mooring Riser,30,30
GP03FLMB-RIM01,Mooring Riser,30,1510
GP03FLMB-RIS01,Mooring Riser,30,30
GP05MOAS-GL276,Open Ocean Glider 276,0,1000
GP05MOAS-GL361,Open Ocean Glider 361,0,1000
GP05MOAS-GL362,Open Ocean Glider 362,0,1000
GP05MOAS-GL363,Open Ocean Glider 363,0,1000
GP05MOAS-GL364,Open Ocean Glider 364,0,1000
GP05MOAS-GL365,Open Ocean Glider 365,0,1000
GP05MOAS-GL453,Open Ocean Glider 453,0,1000
GP05MOAS-GL523,Open Ocean Glider 523,0,1000
GP05MOAS-GL525,Open Ocean Glider 525,0,1000
